time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2516,501,152,384768,-0.00032003501190855686,1.2941231727600098,0.8728066682815552,1500,0.2,1.2861913765470188,0.0,0.00025,-6.1123373e-10,1.3973945493085516e-06,-6519.593219571428,73049.42857142857
2521,502,152,385536,-0.0003760297173964015,1.9235002994537354,0.8046652674674988,1503,0.2,1.9854434745179281,0.0,0.00025,-1.2027925e-09,1.0136993498437935e-06,-6519.593219571428,73049.42857142857
2529,503,152,386304,-0.0004366743871489436,2.483346462249756,0.8587759137153625,1506,0.2,2.604552204410235,0.0,0.00025,7.24017e-10,1.3386080455448891e-06,-6519.593219571428,73049.42857142857
2533,504,152,387072,-0.0003867232978033523,1.1471850872039795,0.909795343875885,1509,0.2,1.416030868060059,0.0,0.00025,7.149647e-10,9.677476353115505e-07,-6519.593219571428,73049.42857142857
2538,505,152,387840,-0.0004819652321101684,1.185723900794983,0.8097881078720093,1512,0.2,1.624880813062191,0.0,0.00025,5.60848e-10,1.8340587202045654e-06,-6519.593219571428,73049.42857142857
2543,506,152,388608,-0.0005235368937266887,2.0687620639801025,0.8633909225463867,1515,0.2,1.4402027171519067,0.0,0.00025,-1.1457905e-09,1.8647325406264927e-06,-6519.593219571428,73049.42857142857
2547,507,152,389376,-0.0006007157527266019,0.8243920803070068,0.853721022605896,1518,0.2,1.788444084011846,0.0,0.00025,3.800409e-10,1.720899793629845e-06,-6519.593219571428,73049.42857142857
2552,508,152,390144,-0.000767939627823782,1.5095531940460205,0.8564010858535767,1521,0.2,1.9578903160161443,0.0,0.00025,-7.6199075e-10,1.471418525195784e-06,-6519.593219571428,73049.42857142857
2556,509,152,390912,-0.0009361625294938373,0.922257125377655,0.8566490411758423,1524,0.2,1.1992019741899438,0.0,0.00025,-5.3981825e-10,1.5280610467824672e-06,-6519.593219571428,73049.42857142857
2564,510,152,391680,-0.0011363791555696581,1.5397601127624512,0.8889967799186707,1527,0.2,0.9989069625735283,0.0,0.00025,-3.6529477e-10,3.5138348013990453e-06,-6519.593219571428,73049.42857142857
2568,511,152,392448,-0.001826400891230959,0.9978839755058289,0.8460755348205566,1530,0.2,1.1548514010177717,0.0,0.00025,1.1069242e-08,5.1119520018498106e-06,-6519.593219571428,73049.42857142857
2573,512,152,393216,-0.004345315773712678,3.0723977088928223,0.8163328766822815,1533,0.2,2.3174868805540934,0.0,0.00025,7.179576e-08,2.2121232986036273e-05,-6519.593219571428,73049.42857142857
2578,513,152,393984,-0.0012337923696779602,0.7911202907562256,0.8589537739753723,1536,0.2,1.9374434302250545,0.0013020833333333333,0.00025,0.012900499,-0.00016850520882548558,-6519.593219571428,73049.42857142857
2582,514,152,394752,-7.165159907647951e-05,1.0079431533813477,0.8970502018928528,1539,0.2,2.155033513903618,0.0,0.00025,-4.6059405e-09,2.1368679073121814e-07,-6519.593219571428,73049.42857142857
2587,515,152,395520,-6.815989788972527e-05,0.5758625268936157,0.9450785517692566,1542,0.2,1.3189473785459995,0.0,0.00025,-7.139114e-09,7.024371168679662e-08,-6519.593219571428,73049.42857142857
2592,516,152,396288,-6.048421735411264e-05,0.6979892253875732,0.9536576867103577,1545,0.2,1.9185277385016282,0.0,0.00025,-1.1397511e-09,1.1043933530648549e-07,-6519.593219571428,73049.42857142857
2599,517,152,397056,-5.514625783891663e-05,0.5928362011909485,0.948366105556488,1548,0.2,1.5825504834453266,0.0,0.00025,-3.6038499e-09,1.7530853963560529e-07,-6519.593219571428,73049.42857142857
2604,518,152,397824,-6.445781779499764e-05,1.2646366357803345,0.9382829666137695,1551,0.2,1.2366364304390218,0.0,0.00025,-4.1178994e-09,1.1980430119567447e-07,-6519.593219571428,73049.42857142857
2608,519,152,398592,-6.874275065153294e-05,1.6838934421539307,0.8319498896598816,1554,0.2,1.8292017843988206,0.0,0.00025,-4.081102e-09,2.066371962428093e-07,-6519.593219571428,73049.42857142857
