time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
3295,92.60237992,175,1234.66,94,577536,0.011827349398420969,0.2,0.055531215,0.9688057899475098,-6.9119411905606585,3.125812292098999,8.43123679359754,372,0.353759765625,0.00025
3323,83.10589488999999,175,1291.6,95,583680,0.011534189286370141,0.2,0.028307563,0.9777228236198425,-6.723999286691348,3.151458501815796,8.835226133465767,376,0.4097086588541667,0.00025
3360,80.84386996,175,1350.4,96,589824,0.004209130485833157,0.2,0.02093338,0.9577301740646362,-6.761803815762202,6.191655158996582,11.077156007289886,380,0.3048095703125,0.00025
3390,59.91981503,175,1344.76,97,595968,0.005743981746491045,0.2,0.027368302,0.9507313966751099,-6.945083975791931,4.150008678436279,10.415313770373663,384,0.3483072916666667,0.00025
3424,51.20512503999999,175,1309.1,98,602112,0.009624397159010792,0.2,0.026112026,0.944975733757019,-6.859984025359154,4.944120407104492,14.880710144837698,388,0.3147379557291667,0.00025
3459,63.29347012,175,1258.69,99,608256,0.010031381423080651,0.2,0.023067161,0.9627327919006348,-6.861858770251274,4.655735492706299,12.954220394293467,392,0.3322347005208333,0.00025
3492,69.69094511,175,1172.38,100,614400,0.010697928218481442,0.2,0.016565502,0.9687474370002747,-6.790999919176102,3.1763129234313965,10.166845028599104,396,0.3192138671875,0.00025
3528,93.16728504999999,175,1135.22,101,620544,0.0065895648682878045,0.2,0.017094314,0.9638838171958923,-6.828919038176537,3.4834089279174805,9.738620360692343,400,0.3074137369791667,0.00025
3568,105.47674006,175,1140.59,102,626688,0.0009701744954024131,0.2,0.02119402,0.9604437947273254,-6.722465435663859,3.5640547275543213,9.381314237912497,404,0.2386474609375,0.00025
3599,106.84618006000001,175,1142.67,103,632832,0.003852523147846417,0.2,0.024010038,0.9760882258415222,-6.712692563732465,2.529226303100586,8.207483549912771,408,0.2779134114583333,0.00025
3629,83.90025003000001,176,1188.97,104,638976,0.0023072075952465334,0.2,0.02693402,0.9618997573852539,-6.679516325394313,3.6626126766204834,14.047804554303488,412,0.3713785807291667,0.00025
3662,89.87307503999999,176,1216.97,105,645120,0.010412217137248566,0.2,0.035082772,0.9597800970077515,-6.752888798713684,2.826024055480957,10.860104391972223,416,0.3253580729166667,0.00025
