time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss
261888,341,150,1741,18.038860546218025,0.02636222,0.00025,0.8510658740997314,0.00798405004833411,13.723270416259766,-9.139999540000002,1020,0.2,0.2973090277777778,983.08,-7.700383497609033
262656,342,150,1748,9.98355355196529,0.044885963,0.00025,0.8887637257575989,0.007484492509522372,5.062242031097412,-8.4959995,1023,0.2,0.3263888888888889,983.08,-7.652399751875135
263424,343,150,1755,9.899607121944427,0.038136337,0.00025,0.9086514115333557,0.006448062136769295,6.938869476318359,-7.90999948,1026,0.2,0.3997395833333333,982.06,-7.671724001566569
264192,344,149,1762,23.052287817001343,0.03459466,0.00025,0.9010747075080872,0.00550057296641171,14.212484359741211,-13.354999320000001,1029,0.2,0.3923611111111111,980.87,-7.640914797782898
264960,345,149,1768,20.43966711892022,0.033202995,0.00025,0.9222339987754822,0.0038675051311858827,4.245231628417969,-15.8139993,1032,0.2,0.3676215277777778,986.36,-7.631022956636217
265728,346,149,1775,17.11942344241672,0.030863414,0.00025,0.9181821942329407,0.011361826579862585,8.30752944946289,-16.220999310000007,1035,0.2,0.3385416666666667,988.97,-7.636793156464894
266496,347,149,1781,22.52540080414878,0.02673083,0.00025,0.8705391883850098,0.011220596730709076,17.697675704956055,-22.057999280000004,1038,0.2,0.2873263888888889,986.6,-7.72787113322152
267264,348,149,1788,12.439539273579916,0.033785,0.00025,0.925419270992279,-0.007467733411532309,7.746152400970459,-24.795999230000007,1041,0.2,0.32421875,986.6,-7.591283347871569
268032,349,149,1796,9.179427338971031,0.023624653,0.00025,0.9461438655853271,0.003322507287116928,3.295016288757324,-24.75799923,1044,0.2,0.25,986.6,-7.688211679458618
268800,350,149,1802,10.191170003679064,0.02440229,0.00025,0.8768670558929443,0.011492923180210508,5.836481094360352,-24.20499922,1047,0.2,0.2803819444444444,991.11,-7.698036399152544
269568,351,148,1809,8.873325639300877,0.03050874,0.00025,0.8991910815238953,-0.01426538438277526,3.8950634002685547,-24.50099923,1050,0.2,0.3519965277777778,991.11,-7.696727951367696
270336,352,148,1816,11.496950116422441,0.025027106,0.00025,0.756179928779602,0.018398829916906025,6.021523952484131,-24.670999240000004,1053,0.2,0.3559027777777778,987.53,-7.570035649670495
271104,353,148,1823,19.494948499732548,0.021504894,0.00025,0.8029171824455261,0.010905020378736986,16.076066970825195,-18.979999200000005,1056,0.2,0.3346354166666667,988.0,-7.553187012672424
271872,354,148,1829,11.82763409614563,0.025735319,0.00025,0.8169164061546326,0.005101466538488037,8.920089721679688,-18.951999200000003,1059,0.2,0.359375,988.0,-7.491503636042277
272640,355,148,1835,7.3747031258212195,0.034729198,0.00025,0.9034574627876282,0.005286995075746543,5.835898399353027,-18.429999180000003,1062,0.2,0.38671875,988.0,-7.475276523166233
273408,356,148,1842,25.28134614891476,0.033159327,0.00025,0.9233521223068237,0.008505757794611983,5.262569427490234,-35.15199903,1065,0.2,0.41796875,988.0,-7.627972914112939
274176,357,148,1850,11.079413099421394,0.050082237,0.00025,0.9591675400733948,0.028466814352820318,3.540009021759033,-35.04399903,1068,0.2,0.3532986111111111,988.0,-7.731178800264995
274944,358,148,1857,10.472927702797783,0.053987116,0.00025,0.954195499420166,0.017642133144868746,2.8993659019470215,-42.98999895000001,1071,0.2,0.3980034722222222,988.0,-7.6642789178424415
275712,359,147,1863,11.307313740253448,0.029485792,0.00025,0.9370513558387756,0.021315433654106326,6.566234111785889,-42.47999893000001,1074,0.2,0.3563368055555556,988.0,-7.781001183721754
276480,360,147,1870,7.375126934713787,0.045798957,0.00025,0.8793061375617981,0.01350863893619842,2.35097599029541,-41.985998900000006,1077,0.2,0.40234375,988.0,-7.708787394894494
277248,361,147,1877,8.08129996392462,0.03363394,0.00025,0.8968683481216431,0.003940068563679233,2.5183768272399902,-41.881998890000006,1080,0.2,0.3719618055555556,988.0,-7.6594409346580505
278016,362,147,1884,10.806999898619122,0.031893272,0.00025,0.7761872410774231,-1.0158142281903161e-05,3.421251058578491,-41.707998880000005,1083,0.2,0.3676215277777778,988.0,-7.768368687894609
278784,363,147,1891,14.971237705813515,0.022393731,0.00025,0.851125955581665,0.004507658142958664,12.808927536010742,-41.537998879999996,1086,0.2,0.2682291666666667,988.0,-7.665654162565867
279552,364,147,1898,13.702290051513248,0.03710324,0.00025,0.8472028374671936,0.007226665142095751,4.1976165771484375,-41.34399887000001,1089,0.2,0.3650173611111111,988.0,-7.716112607055241
280320,365,147,1904,12.66621157195833,0.021432325,0.00025,0.6939785480499268,2.998090349137783e-05,6.1059041023254395,-35.597998839999995,1092,0.2,0.3051215277777778,991.48,-7.672641197840373
281088,366,147,1910,18.59163725376129,0.023785392,0.00025,0.802933931350708,0.004851929584725035,4.590132713317871,-36.17599886999999,1095,0.2,0.34765625,993.36,-7.698643578423394
281856,367,147,1917,16.90736210346222,0.025367578,0.00025,0.8682327270507812,0.0024226520908996463,9.130390167236328,-36.12499886999999,1098,0.2,0.3025173611111111,997.57,-7.581845415963067
282624,368,146,1924,19.13241049316194,0.023988634,0.00025,0.8709707260131836,0.0039345868669139845,9.068633079528809,-38.403998879999996,1101,0.2,0.3328993055555556,1003.54,-7.670853833357493
283392,369,146,1931,15.935794161425697,0.034449033,0.00025,0.9083159565925598,0.004032098985691037,9.63644027709961,-33.343998889999995,1104,0.2,0.3294270833333333,1003.54,-7.682233638233608
284160,370,146,1937,22.640417204962837,0.028065028,0.00025,0.9094051718711853,0.012309310194622312,19.267873764038086,-33.331998899999995,1107,0.2,0.3550347222222222,1003.54,-7.68282409509023
284928,371,146,1943,12.53429791993565,0.06548392,0.00025,0.9409491419792175,0.02379618940823194,3.1743931770324707,-40.32999892,1110,0.2,0.3654513888888889,1003.54,-7.903311928113301
