time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean
150,79,60672,402,-7.562263641092512,234,18.02981326977412,0.026192106,0.2,1019.0,0.7690133452415466,0.3246527777777778,0.0061639046762138605,0.00025,12.087742805480957,10085.39
150,80,61440,407,-7.582270059320662,237,25.20249330997467,0.025930969,0.2,1019.0,0.6970729231834412,0.3745659722222222,0.006349362872747911,0.00025,14.454615592956543,10248.02
150,81,62208,412,-7.64293321635988,240,18.708614038096535,0.025748193,0.2,1019.0,0.8934926390647888,0.2942708333333333,0.006051742924480802,0.00025,13.607949256896973,10255.04
150,82,62976,418,-7.5805367893642845,243,19.990057799551224,0.030581675,0.2,1019.0,0.8647732138633728,0.3784722222222222,0.02126392947199444,0.00025,7.831079483032227,10377.28
150,83,63744,423,-7.644678678777483,246,23.372432920667862,0.055803787,0.2,1019.0,0.9327020049095154,0.4322916666666667,0.027395623063461647,0.00025,15.218403816223145,10407.18
150,84,64512,428,-7.701789286401537,249,19.60739866230223,0.03505347,0.2,1019.0,0.8575080037117004,0.3741319444444444,0.020570662584052317,0.00025,14.729196548461914,10471.38
150,85,65280,434,-7.849642488691542,252,22.532973329226177,0.02440697,0.2,1019.0,0.9229708313941956,0.3572048611111111,0.013606663819195496,0.00025,13.360492706298828,10470.86
150,86,66048,439,-7.713166422314114,255,19.92744122611152,0.03585273,0.2,1019.0,0.7870513796806335,0.3988715277777778,0.007971467851247225,0.00025,8.568578720092773,10475.15
150,87,66816,444,-7.861697706911299,258,18.26396842797597,0.02526755,0.2,1019.0,0.8453433513641357,0.34375,0.01610757574154478,0.00025,8.729361534118652,10429.13
150,88,67584,450,-7.792763577567206,261,19.276474740770126,0.02596181,0.2,1019.0,0.5957773923873901,0.3446180555555556,0.018911746240014002,0.00025,8.529455184936523,10403.91
150,89,68352,455,-7.815287994013892,264,18.036129626962875,0.022470638,0.2,1019.0,0.8967171311378479,0.3337673611111111,0.0015793333166382378,0.00025,13.811992645263672,10377.65
150,90,69120,460,-7.818851616647509,267,17.270358469751145,0.026042558,0.2,1019.0,0.8715163469314575,0.2912326388888889,0.006100276627370881,0.00025,14.771605491638184,10439.87
150,91,69888,465,-7.7984710865550575,270,14.139295654164421,0.041078117,0.2,1019.0,0.9202386140823364,0.3506944444444444,-0.004489617137652304,0.00025,7.877166271209717,10435.71
149,92,70656,471,-7.636345161332025,273,19.43657253185908,0.061461296,0.2,1019.0,0.6740391850471497,0.4361979166666667,0.016733446818155546,0.00025,12.778244018554688,10449.66
149,93,71424,476,-7.79538247982661,276,16.17089264922672,0.02041425,0.2,1019.0,0.8966278433799744,0.2795138888888889,0.009224894443630345,0.00025,14.914877891540527,10426.5
149,94,72192,481,-7.681724349657695,279,11.591193583276537,0.03200675,0.2,1019.0,0.8445492386817932,0.3745659722222222,0.003128148628295296,0.00025,5.966495037078857,10433.77
149,95,72960,486,-7.741484536064996,282,19.129162338044907,0.021628998,0.2,1019.0,0.8772726655006409,0.2578125,0.006578871734543807,0.00025,10.473626136779785,10415.31
149,96,73728,491,-7.696709871292114,285,12.071035226186117,0.038403455,0.2,1019.0,0.9250725507736206,0.3802083333333333,0.01984700182866719,0.00025,7.576525688171387,10425.97
149,97,74496,497,-7.6521345310741005,288,13.383243375354343,0.029343775,0.2,1019.0,0.9140177965164185,0.3671875,0.003843607898387644,0.00025,12.163559913635254,10445.99
149,98,75264,502,-7.620554281605615,291,8.811062276363373,0.05179955,0.2,1019.0,0.8451993465423584,0.4084201388888889,0.027762898826040328,0.00025,4.498797416687012,10529.16
149,99,76032,507,-7.60489481025272,294,16.133358730210198,0.024940656,0.2,1019.0,0.9059968590736389,0.34765625,0.013186764101394348,0.00025,17.13386344909668,10572.06
149,100,76800,512,-7.678859882884556,297,10.848192118936115,0.039082576,0.2,1019.0,0.8024773597717285,0.3771701388888889,0.010110255201450653,0.00025,7.013055324554443,10593.4
149,101,77568,517,-7.672063132127126,300,11.913622432284885,0.02808243,0.2,1019.0,0.8657580018043518,0.3758680555555556,0.009741150748191608,0.00025,6.256665229797363,10607.44
149,102,78336,522,-7.631489713986714,303,13.271533290545145,0.048851456,0.2,1019.0,0.7182306051254272,0.4388020833333333,0.012575988211513808,0.00025,3.805009126663208,10563.78
149,103,79104,528,-7.596301045682695,306,13.185947669876946,0.026190989,0.2,1019.0,0.9115880727767944,0.4114583333333333,0.013609400523516038,0.00025,5.73300313949585,10565.5
149,104,79872,534,-7.590769072373708,309,18.18263710869683,0.023717945,0.2,1019.0,0.8216081857681274,0.3055555555555556,0.005624471542735894,0.00025,16.67872428894043,10463.09
149,105,80640,539,-7.720018128554027,312,18.50616212023629,0.025883341,0.2,1019.0,0.9101628065109253,0.2621527777777778,0.005077189287274248,0.00025,7.716789722442627,10453.21
149,106,81408,545,-7.730764289697011,315,14.460363023810917,0.051154047,0.2,1019.0,0.5892834663391113,0.3233506944444444,0.015331111770744124,0.00025,8.243433952331543,10504.11
149,107,82176,550,-7.689804209603204,318,16.803583029243683,0.030154929,0.2,1019.0,0.8768702149391174,0.3389756944444444,0.02001540406814052,0.00025,3.1097941398620605,10546.2
149,108,82944,555,-7.74766618013382,321,21.65121352672577,0.024060695,0.2,1019.0,0.8585699796676636,0.3680555555555556,0.014922384198548065,0.00025,10.969409942626953,10832.14
149,109,83712,560,-7.813166638215383,324,13.579600188467237,0.026369413,0.2,1019.0,0.8688465356826782,0.3138020833333333,0.005773279324380888,0.00025,6.650395393371582,10873.22
149,110,84480,565,-7.790671348571777,327,13.750669525729286,0.054731593,0.2,1019.0,0.8151004910469055,0.3177083333333333,0.0004358974531189435,0.00025,4.741822719573975,10899.24
149,111,85248,571,-7.881165848837958,330,16.71028596162796,0.022645792,0.2,1019.0,0.8799402117729187,0.3098958333333333,-0.004407423820036153,0.00025,7.093550205230713,10856.6
149,112,86016,576,-7.787823273075952,333,10.355726016892326,0.06915879,0.2,1019.0,0.8704702854156494,0.4700520833333333,0.02877135698347249,0.00025,6.78347110748291,10825.47
149,113,86784,581,-7.568488432301415,336,14.117205427752602,0.019993605,0.2,1017.08,0.8849978446960449,0.296875,0.0031209740813614596,0.00025,19.476924896240234,10762.55
149,114,87552,586,-7.462771786583795,339,18.659667048189377,0.048782617,0.2,1017.08,0.8118433356285095,0.4678819444444444,0.02323284636562069,0.00025,13.198594093322754,10842.63
149,115,88320,592,-7.606147620413038,342,11.156175600157844,0.033683915,0.2,1017.08,0.8883841037750244,0.3771701388888889,0.02567378139226801,0.00025,6.468243598937988,10806.86
149,116,89088,597,-7.646054181787703,345,14.284903075959948,0.06508746,0.2,1017.08,0.9230262637138367,0.4965277777777778,0.043258001135351755,0.00025,11.139416694641113,10868.17
149,117,89856,602,-7.647260414229499,348,19.273456752300262,0.05045129,0.2,1017.08,0.9520586133003235,0.4435763888888889,0.027081732605842665,0.00025,4.1519269943237305,10784.51
149,118,90624,607,-7.557944715023041,351,32.87960487604141,0.045525987,0.2,1017.08,0.9458777904510498,0.4926215277777778,0.037325105241810284,0.00025,18.290658950805664,10770.91
149,119,91392,612,-7.696560303370158,354,20.64858345190684,0.04004954,0.2,1017.08,0.940786600112915,0.4136284722222222,0.007887190906330943,0.00025,8.23419189453125,10869.17
149,120,92160,618,-7.785356197092268,357,13.259772333833906,0.031926677,0.2,1017.08,0.878987193107605,0.3615451388888889,0.01327216628447382,0.00025,4.776165962219238,10979.15
149,121,92928,623,-7.710065066814423,360,16.021175695790184,0.033531636,0.2,1017.08,0.8919100761413574,0.3585069444444444,0.00643246997303019,0.00025,8.789762496948242,10974.73
149,122,93696,628,-7.733741574817234,363,17.25696422656377,0.03353664,0.2,1017.08,0.8796375393867493,0.34375,0.013733048192484098,0.00025,8.597320556640625,10923.6
149,123,94464,633,-7.842639187971751,366,23.984586662716335,0.03653911,0.2,1017.08,0.8739933371543884,0.3181423611111111,-0.008155463146977127,0.00025,6.392804145812988,10898.88
149,124,95232,639,-7.683044744862451,369,12.588570687505934,0.045063198,0.2,1017.08,0.8504334688186646,0.4088541666666667,0.026048582888001368,0.00025,6.271065711975098,10890.18
148,125,96000,645,-7.714076108402676,372,19.348018957508934,0.04092036,0.2,1017.08,0.9006533026695251,0.37109375,0.02185904962890264,0.00025,6.612621784210205,10877.18
148,126,96768,650,-7.7425894604788885,375,12.94446944197019,0.026816739,0.2,1017.08,0.8444961309432983,0.3515625,0.009377455183615288,0.00025,4.65228796005249,10912.28
148,127,97536,656,-7.7043594982888965,378,22.551728818151688,0.03681174,0.2,1017.08,0.9002732038497925,0.4140625,0.006709693232551217,0.00025,11.075784683227539,10728.46
148,128,98304,661,-7.701759828461541,381,31.260613640149433,0.08023483,0.2,1017.08,0.9256733059883118,0.4171006944444444,0.031554907767309084,0.00025,12.694594383239746,10473.67
148,129,99072,666,-7.8005878991550865,384,27.682354675398933,0.062181156,0.2,1017.08,0.9534772634506226,0.4348958333333333,0.0484910225107645,0.00025,8.32066822052002,10363.77
148,130,99840,672,-7.872674061192407,387,13.758644560972849,0.016308386,0.2,1017.08,0.800594687461853,0.2417534722222222,0.008623361471109092,0.00025,10.96302318572998,10211.41
148,131,100608,677,-7.96914400657018,390,13.44256999095281,0.014997728,0.2,1017.08,0.8928714394569397,0.2508680555555556,-0.006614949030335993,0.00025,10.889360427856445,10190.92
148,132,101376,682,-7.925274067454868,393,9.87189229991701,0.02027555,0.2,1017.08,0.7294483184814453,0.2938368055555556,-0.005093465054718156,0.00025,6.090887069702148,10001.38
