time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss
2022,356352,176,106.99301489000001,999.76,58,0.3723551432291667,0.006374369511225571,0.2,228,11.81850321094195,0.038067516,0.00025,3.5831713676452637,0.9594516754150391,-7.491714254021645
2054,362496,176,115.78130991999998,926.29,59,0.3139241536458333,0.002519849445282792,0.2,232,12.224226400256157,0.018360592,0.00025,5.125397682189941,0.9564846158027649,-7.376604477564494
2087,368640,176,99.31726488999998,955.3,60,0.3724772135416667,0.007669631796791994,0.2,236,16.058509305119514,0.029845908,0.00025,5.9321699142456055,0.954124391078949,-7.277692606051763
2128,374784,176,74.02673,1067.21,61,0.3671061197916667,0.016829764933693998,0.2,240,10.241852988799414,0.035889048,0.00025,5.441634178161621,0.9634738564491272,-7.280069798231125
2162,380928,176,53.16205504999999,1130.21,62,0.3348795572916667,0.007753236361168092,0.2,244,22.818192849556606,0.02100633,0.00025,7.736201286315918,0.9240689277648926,-7.487403497099876
2192,387072,176,43.93644507999999,1201.2,63,0.3424886067708333,0.009709606851780942,0.2,248,17.804910053809483,0.037308723,0.00025,6.112680912017822,0.9536169171333313,-7.364885290463765
2227,393216,176,51.090050170000005,1183.31,64,0.36865234375,0.00886880156758707,0.2,252,14.422896136840185,0.043446764,0.00025,5.375242710113525,0.9226512908935547,-7.290445576111476
2263,399360,176,52.778370220000006,1176.86,65,0.3004150390625,-0.0005212969845160842,0.2,256,12.770421852668127,0.0219677,0.00025,5.242408752441406,0.9564008116722107,-7.332297831773758
2302,405504,176,89.77148513000002,1111.47,66,0.3237711588541667,0.003906048514181748,0.2,260,11.728244319558144,0.02752555,0.00025,4.453620910644531,0.9534170627593994,-7.214921861886978
2334,411648,176,90.62188516,1067.72,67,0.3638509114583333,0.01256140827172203,0.2,264,11.737978855768839,0.026144898,0.00025,4.329590797424316,0.9671621322631836,-7.154360661904017
2368,417792,176,100.40584507,1075.2,68,0.3505452473958333,0.010119458189971434,0.2,268,11.912689780195555,0.043192197,0.00025,4.880573749542236,0.9691572189331055,-7.115235378344853
2402,423936,176,99.053005,1068.45,69,0.3268636067708333,0.008157655276590958,0.2,272,13.334068953990936,0.03321129,0.00025,5.95707368850708,0.963750958442688,-7.217464650670688
2442,430080,176,86.89199499000001,1132.1,70,0.2913818359375,0.003238955876440741,0.2,276,13.656894832849503,0.028437136,0.00025,5.855231761932373,0.949652910232544,-7.194974174102147
2486,436224,175,76.29284007,1154.85,71,0.3951416015625,0.012938587618312644,0.2,280,9.027192920446396,0.03466737,0.00025,3.599194288253784,0.9607368111610413,-7.015087053179741
2526,442368,175,75.64223001,1139.13,72,0.3523356119791667,0.013307156099472195,0.2,284,11.40734581152598,0.043979634,0.00025,3.3571643829345703,0.955510139465332,-7.087207317352295
2558,448512,175,64.30016004,1204.2,73,0.3481852213541667,0.007155351006076671,0.2,288,11.43126435081164,0.023723567,0.00025,4.513921737670898,0.9641448855400085,-7.228330408533414
2596,454656,175,70.99234505000001,1237.75,74,0.2972412109375,0.008503267005532203,0.2,292,10.36858569085598,0.018702881,0.00025,3.88244891166687,0.9709108471870422,-7.222023318211238
2627,460800,175,80.14480499000001,1109.7,75,0.3629557291666667,0.00896731728425948,0.2,296,11.334401498238245,0.040600244,0.00025,4.18928861618042,0.9691428542137146,-7.1600048542022705
2658,466944,175,80.19940496999999,1075.37,76,0.3695882161458333,0.009089330909773707,0.2,300,15.032344281673431,0.030885018,0.00025,5.20082426071167,0.9233473539352417,-7.080728679895401
2692,473088,175,99.11166997999999,1037.46,77,0.3350423177083333,0.0033968577336054295,0.2,304,12.642932146787643,0.0249862,0.00025,4.5229058265686035,0.9594438076019287,-7.090247382720311
2727,479232,175,97.75715493,1050.96,78,0.3083089192708333,0.006949798672091371,0.2,308,10.688132012883822,0.020929044,0.00025,5.088070392608643,0.9694874286651611,-6.966352954506874
2761,485376,175,89.55442994,1121.07,79,0.2800699869791667,0.0028664618172721625,0.2,312,11.995526055494944,0.018944053,0.00025,5.0277814865112305,0.9695732593536377,-6.906142006317775
2795,491520,175,64.46948497000001,1227.94,80,0.3502604166666667,0.00792668553913245,0.2,316,9.826789205272993,0.030962205,0.00025,3.8304667472839355,0.9643195867538452,-6.9089208990335464
2830,497664,175,71.00028001,1258.27,81,0.3103434244791667,0.008241956453275634,0.2,320,13.051777337988218,0.03300367,0.00025,4.254000186920166,0.9415625929832458,-6.912339553236961
2866,503808,175,53.37108508,1314.53,82,0.3791097005208333,0.008059841214465754,0.2,324,11.822007060050964,0.03995449,0.00025,5.044988632202148,0.9576971530914307,-6.935760388771693
