time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/value_loss
2178,1157.19,621.32674956,76,214,466944,0.00025,300,0.2,0.2620035807291667,0.9685271382331848,7.937562465667725,0.02042353,0.004729436637717299,-7.480915958682696,18.253061870733898
2208,1098.08,665.0458496899998,77,214,473088,0.00025,304,0.2,0.3827311197916667,0.9774594902992249,2.604412317276001,0.01885764,0.013244099963534003,-7.424054990212123,8.083481187621752
2237,1104.82,671.35329969,78,214,479232,0.00025,308,0.2,0.3345540364583333,0.9868017435073853,3.331874370574951,0.04156998,0.006141402564632396,-7.346851264437039,7.986464659372966
2268,1073.26,710.27149977,79,213,485376,0.00025,312,0.2,0.4916178385416667,0.9732183814048767,3.322600841522217,0.04263189,0.024136625065390643,-7.505707696080208,8.051506717999777
2293,1095.36,702.2422497399998,80,214,491520,0.00025,316,0.2,0.3206380208333333,0.9724428653717041,3.293839693069458,0.036751408,0.008562982645040998,-7.5039402196804685,8.126970708370209
2320,1097.56,687.4820996699999,81,214,497664,0.00025,320,0.2,0.4232584635416667,0.9690673351287842,6.947954177856445,0.04233161,0.011486479498368377,-7.41448833545049,9.092506662011147
2347,1175.78,644.30109971,82,214,503808,0.00025,324,0.2,0.3020833333333333,0.9717801809310913,2.9483561515808105,0.020940758,0.005709175253286958,-7.323210224509239,8.11468611160914
2374,1180.12,657.7412497800001,83,214,509952,0.00025,328,0.2,0.3570963541666667,0.9732716679573059,3.3593313694000244,0.021279372,0.00526438783466195,-7.282871514558792,8.154669920603434
2402,1209.94,667.5926498399999,84,214,516096,0.00025,332,0.2,0.2888997395833333,0.9771882891654968,2.512767791748047,0.018378064,-0.0011368042032700032,-7.24486758808295,8.59433883925279
2427,1163.0,674.0332998700001,85,215,522240,0.00025,336,0.2,0.310302734375,0.9729503989219666,3.5595803260803223,0.03124695,0.005498656561636987,-7.170041859149933,9.497869491577148
2454,1084.34,718.93459987,86,215,528384,0.00025,340,0.2,0.2914225260416667,0.9655323028564453,2.798953056335449,0.023037964,0.006023547786753625,-7.408104315400124,9.687495668729147
2481,1057.84,748.70824987,87,215,534528,0.00025,344,0.2,0.3571370442708333,0.9830122590065002,2.96445369720459,0.066683955,0.012427746652974747,-7.235726376374562,6.87109533449014
2509,1035.7,758.9174496899999,88,215,540672,0.00025,348,0.2,0.3113606770833333,0.9647720456123352,3.4950406551361084,0.019824725,0.0017345204735950877,-7.3122893671194715,8.137131690979004
2533,966.82,796.7294997299998,89,215,546816,0.00025,352,0.2,0.3901774088541667,0.9837713837623596,3.199211597442627,0.059674576,0.013267993990060253,-7.157110874851544,7.196998904148738
2563,963.57,791.1486496299999,90,215,552960,0.00025,356,0.2,0.3087158203125,0.974321722984314,4.00611686706543,0.024939546,-0.0030713939947114945,-7.271242742737134,10.598365272084871
2595,976.84,784.6609996100001,91,215,559104,0.00025,360,0.2,0.2814534505208333,0.9740311503410339,2.336111307144165,0.02891575,0.0018333342244053104,-7.059461558858554,7.83306410908699
2632,1007.29,739.8394496599999,92,214,565248,0.00025,364,0.2,0.3196614583333333,0.9713406562805176,3.5512826442718506,0.031161787,0.0059113253591931425,-7.022927472988765,10.00703838467598
2664,1123.89,664.3103996599999,93,214,571392,0.00025,368,0.2,0.3006184895833333,0.9637584686279297,2.7060036659240723,0.030105678,0.015155961096752435,-7.049876615405083,9.992314239343008
2689,1194.86,632.2641496300001,94,214,577536,0.00025,372,0.2,0.3555094401041667,0.9700567722320557,3.564802646636963,0.029793585,0.005469950852178347,-7.000090728203456,11.620814810196558
2712,1266.91,590.4620996599999,95,215,583680,0.00025,376,0.2,0.3155110677083333,0.9798582196235657,2.017352342605591,0.02194651,0.010524456643906888,-7.012455652157466,6.8501586218674975
2737,1260.62,590.96509962,96,215,589824,0.00025,380,0.2,0.334716796875,0.9597816467285156,3.6700243949890137,0.033310622,0.0036579230703258267,-6.864443972706795,11.278983036677042
2762,1278.35,590.4405496299999,97,215,595968,0.00025,384,0.2,0.3347574869791667,0.9706333875656128,3.6621501445770264,0.029408405,0.007933418780642873,-7.00246787071228,8.942530140280724
2784,1253.49,621.7913996,98,216,602112,0.00025,388,0.2,0.2860514322916667,0.9641191959381104,4.973514556884766,0.022164041,0.009057438971164325,-7.024195149540901,13.01502631107966
2812,1205.92,652.92859961,99,216,608256,0.00025,392,0.2,0.3110758463541667,0.9779724478721619,3.4491019248962402,0.019369652,0.0024893120632138257,-7.068196818232536,8.048621142903963
2849,1199.17,688.8331496300001,100,215,614400,0.00025,396,0.2,0.3116048177083333,0.9704864025115967,3.596024990081787,0.021712149,0.002108120737830177,-7.203880161046982,9.719696948925654
2900,1234.1,654.7956496800001,101,213,620544,0.00025,400,0.2,0.3698323567708333,0.971841037273407,3.7267017364501953,0.022599312,0.002670843665934323,-7.141081606348355,8.02579997976621
2935,1176.96,684.2486996700001,102,213,626688,0.00025,404,0.2,0.4019775390625,0.9640399813652039,3.125927448272705,0.046313018,0.0043777454702649266,-7.077420324087143,8.15595414241155
2964,1158.97,671.44854979,103,213,632832,0.00025,408,0.2,0.3708089192708333,0.9744275808334351,3.2612714767456055,0.031132454,0.007794257937348448,-7.093009382486343,7.659659018119176
2991,1244.9,610.12159977,104,213,638976,0.00025,412,0.2,0.3392740885416667,0.956093966960907,2.6364996433258057,0.033798005,0.009674261949840002,-7.161130120356877,11.308004036545753
3025,1251.06,585.06354968,105,213,645120,0.00025,416,0.2,0.3125813802083333,0.9639106392860413,6.944035530090332,0.026993826,0.00825131566671189,-7.2194883823394775,19.86320487658183
3053,1201.35,622.10829965,106,213,651264,0.00025,420,0.2,0.3194580078125,0.9711005687713623,3.486516237258911,0.02735337,0.006415979104834453,-7.2161437422037125,9.79635052382946
3078,1239.02,599.0090497,107,213,657408,0.00025,424,0.2,0.44921875,0.977470874786377,2.750643014907837,0.13592266,0.024467570872123662,-7.209617386261622,6.525559370716413
3100,1274.95,606.7463496,108,214,663552,0.00025,428,0.2,0.27099609375,0.9681222438812256,2.809641122817993,0.01920595,0.001879046644413999,-7.259126539031665,7.399113883574803
3125,1290.33,605.68224959,109,214,669696,0.00025,432,0.2,0.3945719401041667,0.9743177890777588,3.6516361236572266,0.04213814,0.011229724317672662,-7.275923465689023,9.249217679103216
3150,1281.18,630.79354961,110,214,675840,0.00025,436,0.2,0.3774007161458333,0.9394059777259827,6.017807960510254,0.02747797,0.00503591950594758,-7.369138643145561,17.33899239699046
3175,1304.06,611.0630496599999,111,214,681984,0.00025,440,0.2,0.3915608723958333,0.9627241492271423,3.484858751296997,0.029421931,0.006174463436764199,-7.305533831318219,9.464099685351053
3199,1348.34,605.59409964,112,215,688128,0.00025,444,0.2,0.3771158854166667,0.9596043825149536,3.1314592361450195,0.036671236,0.0008199307145938898,-7.27071325480938,9.485321586330732
3236,1307.01,631.1206996799999,113,214,694272,0.00025,448,0.2,0.2865397135416667,0.9803500175476074,2.206212043762207,0.037972674,0.005393882660428062,-7.2788679252068205,7.2899648149808245
3287,1280.66,664.67504967,114,213,700416,0.00025,452,0.2,0.4291585286458333,0.9734929800033569,3.040461301803589,0.040299773,0.006596365504568287,-7.294577315449715,9.36630249520143
3325,1244.07,671.19679974,115,212,706560,0.00025,456,0.2,0.4348551432291667,0.9716560244560242,3.550224781036377,0.040729024,0.012083940479593972,-7.373063832521439,8.003457074364027
3354,1245.31,700.40494985,116,212,712704,0.00025,460,0.2,0.4200439453125,0.9699101448059082,2.80934739112854,0.038135204,0.024972898948666018,-7.397317081689835,7.4062673052151995
3380,1233.29,715.6013998699999,117,212,718848,0.00025,464,0.2,0.3884684244791667,0.9746833443641663,3.067383289337158,0.0288906,0.0026161173955188133,-7.503773937622706,7.716775640845299
3408,1274.11,705.89984983,118,212,724992,0.00025,468,0.2,0.3633626302083333,0.9568655490875244,3.309230327606201,0.03248181,0.005495041482693826,-7.533773725231488,10.18858477473259
3438,1259.4,710.82904997,119,212,731136,0.00025,472,0.2,0.3311767578125,0.9646524786949158,3.7479403018951416,0.022045977,-0.00022005484788678586,-7.469218547145526,8.436197256048521
3469,1317.44,691.0730500100002,120,212,737280,0.00025,476,0.2,0.3008626302083333,0.9553915858268738,4.112196445465088,0.02275051,0.002289470188164463,-7.554534152150154,11.732772901654243
3502,1309.07,695.2645499,121,212,743424,0.00025,480,0.2,0.3865152994791667,0.9683331251144409,2.5820553302764893,0.03316796,0.0023872293750173412,-7.498483856519063,7.149987754722436
3529,1319.11,695.5799498800002,122,212,749568,0.00025,484,0.2,0.4070231119791667,0.9696478843688965,3.5100960731506348,0.033513054,0.011715666885720566,-7.541047861178716,8.551664968331655
3551,1280.49,700.40099982,123,212,755712,0.00025,488,0.2,0.43310546875,0.9561266899108887,4.611452579498291,0.03379221,0.017060378449968994,-7.527122035622597,10.52582916120688
3576,1296.44,700.0072997299998,124,212,761856,0.00025,492,0.2,0.447509765625,0.9740540981292725,2.3845043182373047,0.06956314,0.015268339399578204,-7.453211839000384,7.399112741152446
