time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
3007,93,571392,1573.36,-1335.9756344,189,8.154598012566566,0.00025,0.4149983723958333,0.2,368,0.9803748726844788,4.030298233032227,-5.909091999133428,0.022307212736147147,0.03521831
3041,94,577536,1572.19,-1329.3465664200003,189,3.6250140282015004,0.00025,0.3964029947916667,0.2,372,0.9931764006614685,2.118966817855835,-5.90874145925045,0.02271195376912753,0.049132835
3084,95,583680,1593.4,-1347.2471573000003,189,8.039124583204588,0.00025,0.4549967447916667,0.2,376,0.9803151488304138,8.031866073608398,-5.787778442104657,0.02694336318139297,0.10017851
3125,96,589824,1601.61,-1345.3605603199999,188,3.711499152084192,0.00025,0.3095296223958333,0.2,380,0.9922468662261963,0.9725480675697327,-5.707723796367645,0.014817965425512133,0.016892979
3167,97,595968,1602.48,-1333.8639522499998,188,3.037378691136837,0.00025,0.1641845703125,0.2,384,0.9957761168479919,1.3767980337142944,-5.702979162335396,0.00038673147597971064,0.012121032
3220,98,602112,1601.43,-1317.2314131800001,186,8.586481901506582,0.00025,0.27490234375,0.2,388,0.9822860956192017,1.555911898612976,-5.613896484176318,0.006601593939800902,0.04214702
3263,99,608256,1601.43,-1311.7114131800001,186,8.809095159173012,0.00025,0.3529459635416667,0.2,392,0.9813239574432373,2.8944010734558105,-5.777231156826019,0.009951483744468229,0.022606982
3314,100,614400,1601.43,-1307.99641319,185,2.708968672901392,0.00025,0.3580729166666667,0.2,396,0.9910367727279663,0.9878538846969604,-5.792782758673032,0.016549167111710023,0.040429346
3362,101,620544,1605.91,-1304.38074918,184,2.043756924569607,0.00025,0.3432210286458333,0.2,400,0.9962090849876404,0.8132086992263794,-5.654036074876785,0.021243530774275616,0.0741002
3407,102,626688,1605.91,-1310.8157492699997,183,5.230203775068124,0.00025,0.393310546875,0.2,404,0.9885586500167847,1.4368391036987305,-5.547637368241946,0.01869448205494943,0.010864879
3449,103,632832,1593.4,-1288.7044812899999,183,2.4732981274525323,0.00025,0.3098958333333333,0.2,408,0.9961822628974915,1.1049506664276123,-5.535723030567169,0.012957184388748525,0.018162185
3488,104,638976,1598.34,-1297.87989234,183,12.263433227936426,0.00025,0.3646240234375,0.2,412,0.9696563482284546,2.960667848587036,-5.484831045071284,0.008562540645167852,0.03202219
3533,105,645120,1573.18,-1281.91063324,182,3.7169099114835262,0.00025,0.28125,0.2,416,0.9944902658462524,1.2843173742294312,-5.557804395755132,0.00804857183538843,0.01248721
3573,106,651264,1564.99,-1277.9086972999999,182,26.961540554960568,0.00025,0.2806396484375,0.2,420,0.9356703758239746,6.847327709197998,-5.518533820907275,0.005699988951770744,0.023376456
3612,107,657408,1540.43,-1253.20658428,181,5.7917443091670675,0.00025,0.24776204427083334,0.2,424,0.986424446105957,1.3428032398223877,-5.643261209130287,0.005440938490210101,0.01193685
3646,108,663552,1532.87,-1252.46882319,181,15.458472718795141,0.00025,0.27001953125,0.2,428,0.9582520127296448,4.562102317810059,-5.682239880164464,0.005975523235974833,0.022295976
3679,109,669696,1511.94,-1241.4935902500004,182,14.353478650252024,0.00025,0.2838948567708333,0.2,432,0.9581476449966431,4.643660545349121,-5.8347375094890594,0.012661409477004781,0.017819941
3714,110,675840,1496.05,-1237.81205316,181,19.843414028485615,0.00025,0.3230387369791667,0.2,436,0.943718671798706,19.80675506591797,-5.702548861503601,0.005645928882586304,0.023409406
3757,111,681984,1488.78,-1229.4028362400004,181,12.97434750944376,0.00025,0.2354736328125,0.2,440,0.9681598544120789,4.001125335693359,-5.829060773054759,0.0005413399970469376,0.020527283
3798,112,688128,1469.43,-1208.60871522,181,17.489790096879005,0.00025,0.3155517578125,0.2,444,0.9477804899215698,13.745282173156738,-5.609997163216273,0.006668296269102332,0.023514738
3838,113,694272,1458.71,-1196.2524382,180,13.668014352520307,0.00025,0.3075764973958333,0.2,448,0.9571250677108765,2.6044681072235107,-5.662506952881813,0.008315146954070466,0.03006656
