time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/explained_variance
236544,308,1448,163,-8.001887010203468,0.041671365,0.00025,1019.0,6.460026131735908,2.4368066787719727,921,0.34375,0.014930160017684102,0.2,-20468.06,0.9614734649658203
237312,309,1452,163,-7.823095268673367,0.042398334,0.00025,1019.0,13.207235429022047,6.624080181121826,924,0.3953993055555556,0.019171376971320972,0.2,-20691.76,0.9160414934158325
238080,310,1459,163,-7.958574248684777,0.050991464,0.00025,1019.0,4.729854714539316,3.1269822120666504,927,0.3975694444444444,0.019378186009513836,0.2,-20691.76,0.9745262265205383
238848,311,1464,163,-8.035183058844673,0.032850828,0.00025,1019.0,13.528357638253105,11.088677406311035,930,0.3658854166666667,0.02432166870372991,0.2,-20950.78,0.9368935227394104
239616,312,1468,163,-8.013640807734596,0.031197878,0.00025,1019.0,8.706714623504215,1.0947340726852417,933,0.3806423611111111,0.011315982297269834,0.2,-20950.78,0.9463022947311401
240384,313,1473,163,-7.977310743596819,0.030013109,0.00025,1019.0,22.093068725532955,11.82410717010498,936,0.4045138888888889,0.017359761230181903,0.2,-21249.58,0.7892194390296936
241152,314,1478,163,-8.091311891873678,0.032607444,0.00025,1019.0,14.606219814883339,23.744749069213867,939,0.3706597222222222,0.008435496161433144,0.2,-21249.58,0.9093247056007385
241920,315,1482,163,-8.102253238360086,0.040633272,0.00025,1019.0,11.670353247059715,8.213210105895996,942,0.4474826388888889,0.022710102079953585,0.2,-21716.3,0.8941482305526733
242688,316,1487,163,-8.106045895152622,0.043360453,0.00025,1019.0,9.541963626941046,2.4450225830078125,945,0.3411458333333333,0.015236244135950174,0.2,-21716.3,0.9373360276222229
243456,317,1495,162,-8.102785388628641,0.048678022,0.00025,1019.0,12.821274197763866,10.736825942993164,948,0.4635416666666667,0.03117674093745235,0.2,-22258.12,0.8737941980361938
244224,318,1499,162,-8.141421808136833,0.05717052,0.00025,1019.0,12.668390254179636,4.714075088500977,951,0.4201388888888889,0.021174145707239706,0.2,-22258.12,0.8636512756347656
244992,319,1503,162,-8.053135785791609,0.0779998,0.00025,1019.0,9.453690184487236,6.038686275482178,954,0.5256076388888888,0.030904516008579068,0.2,-22754.48,0.8935683369636536
245760,320,1508,162,-8.037812266084883,0.039016914,0.00025,1019.0,8.108804768986172,3.4252748489379883,957,0.4366319444444444,0.026779708310237363,0.2,-22754.48,0.9148780107498169
246528,321,1512,162,-8.007555153634813,0.06405661,0.00025,1019.0,12.81357667181227,4.177681922912598,960,0.5407986111111112,0.023254238340693217,0.2,-23205.94,0.8532050251960754
247296,322,1517,163,-7.955026209354401,0.05618329,0.00025,1019.0,9.319086723857456,4.287002086639404,963,0.4084201388888889,0.022450493726258475,0.2,-23205.94,0.9439405202865601
