time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates
1627,-1376.6935000500002,230,374784,61,1622.0,-7.185713320970535,0.00025,0.02784189,0.9985493421554565,0.2,1.3911128000666697,0.01041008010118579,0.5180935263633728,0.3135579427083333,240
1651,-1446.0835000200002,230,380928,62,1622.0,-7.2603403677543,0.00025,0.021172931,0.9980448484420776,0.2,1.383945784221093,0.010142802551854402,0.5272844433784485,0.306396484375,244
1678,-1453.0884999800003,230,387072,63,1622.0,-7.188726047674815,0.00025,0.054239366,0.9984585642814636,0.2,1.3154566437005997,0.03079799901752267,0.3807850480079651,0.43798828125,248
1705,-1446.3085,230,393216,64,1622.0,-7.178740148742993,0.00025,0.025628537,0.9977054595947266,0.2,1.4086864547183116,0.029977888293312088,0.48227691650390625,0.4322102864583333,252
1732,-1439.7884999600003,230,399360,65,1622.0,-7.1604524205128355,0.00025,0.04361705,0.9980659484863281,0.2,1.629577038809657,0.037331097604086004,0.49214527010917664,0.4488118489583333,256
1757,-1447.2734999500005,230,405504,66,1622.0,-7.182573641339938,0.00025,0.030068679,0.9979820251464844,0.2,1.228413889805476,0.027077023376477882,0.6464085578918457,0.4580891927083333,260
1784,-1448.0834999800004,230,411648,67,1622.0,-7.0938398738702135,0.00025,0.020145938,0.9984131455421448,0.2,1.2842737964044015,0.014854607846549092,0.8098368048667908,0.3115641276041667,264
1811,-1458.5884999700004,230,417792,68,1622.0,-7.2836750994126005,0.00025,0.015969707,0.9983717203140259,0.2,1.3026674178739388,0.007346459123558209,0.9127285480499268,0.23738606770833334,268
1838,-1470.81350009,230,423936,69,1622.0,-7.220232968529065,0.00025,0.019987432,0.9984226822853088,0.2,1.2345181691149871,0.008950333714892622,0.5525402426719666,0.2870686848958333,272
1862,-1481.7485001000002,230,430080,70,1622.0,-7.380433847506841,0.00025,0.028109917,0.998298704624176,0.2,1.3178199057777722,0.01015638753597159,0.7747318744659424,0.29541015625,276
1889,-1520.6135000900003,230,436224,71,1622.0,-7.282246455550194,0.00025,0.025235264,0.9980380535125732,0.2,1.254287173350652,0.016189969775344554,0.6216993927955627,0.3382975260416667,280
1917,-1512.9335000499998,230,442368,72,1622.0,-7.326759909590085,0.00025,0.020711988,0.998296320438385,0.2,1.3991820539037387,0.009951043844921514,0.7238866090774536,0.294677734375,284
1944,-1512.9935000400003,230,448512,73,1622.0,-7.209369674324989,0.00025,0.020629304,0.9981500506401062,0.2,1.2389945164322853,0.008849420148180798,0.7222740650177002,0.3015543619791667,288
1968,-1513.97850004,230,454656,74,1622.0,-7.296761468052864,0.00025,0.040635392,0.9986096024513245,0.2,1.0197345341245334,0.031309296939677246,0.30052632093429565,0.4617919921875,292
1995,-1517.0434999800002,230,460800,75,1622.0,-7.234430208802223,0.00025,0.025703745,0.9984922409057617,0.2,2.0353054317335286,0.016231173933192622,1.1478365659713745,0.3671468098958333,296
2023,-1521.3134999200004,230,466944,76,1622.0,-7.292846987644832,0.00025,0.042575806,0.9986982941627502,0.2,0.9185353082915148,0.026844863095902838,0.37999099493026733,0.4056396484375,300
2050,-1530.4134999300004,230,473088,77,1622.0,-7.232464874784152,0.00025,0.071949415,0.9983537793159485,0.2,0.8228445611894131,0.05194990521219248,0.5992872714996338,0.5448811848958334,304
2074,-1539.2384999300004,230,479232,78,1622.0,-7.307636047403018,0.00025,0.0153819285,0.9987315535545349,0.2,1.0252557341009378,0.021369383107715596,0.4443453848361969,0.3702799479166667,308
2102,-1549.4634999700004,230,485376,79,1622.0,-7.195910627643268,0.00025,0.02372541,0.9985101222991943,0.2,0.9719043904915452,0.03842901242993927,0.2586821913719177,0.463623046875,312
2129,-1553.0734999400004,230,491520,80,1622.0,-7.292089844743411,0.00025,0.019612242,0.9988674521446228,0.2,0.9767236237724622,0.018728267702196415,0.48232659697532654,0.3608805338541667,316
2156,-1559.8184999900002,230,497664,81,1622.0,-7.26678000887235,0.00025,0.0478581,0.9982532858848572,0.2,1.0872901392479737,0.028173175133512512,0.39652496576309204,0.4479573567708333,320
2183,-1560.2635000200003,230,503808,82,1622.0,-7.24431212246418,0.00025,0.01685217,0.9984540939331055,0.2,1.8848230820149183,0.012777930870167134,0.3781801164150238,0.3041585286458333,324
2207,-1549.17849997,230,509952,83,1622.0,-7.180330604314804,0.00025,0.016848886,0.9980038404464722,0.2,1.1047176433106263,0.013991555849012608,0.502823531627655,0.3621012369791667,328
2234,-1536.12350003,230,516096,84,1622.0,-7.168631926178932,0.00025,0.056622278,0.9982241988182068,0.2,1.061933862666289,0.04129370105511043,0.35443952679634094,0.500732421875,332
2262,-1517.9535000899998,230,522240,85,1622.0,-7.235124011834462,0.00025,0.042070042,0.9968310594558716,0.2,1.2591869855920474,0.020435126658412628,0.37856024503707886,0.3827718098958333,336
2289,-1499.2685000800004,230,528384,86,1622.0,-7.266962548096974,0.00025,0.011959128,0.9982193112373352,0.2,1.3157872663189967,0.017152715993385453,0.8349798917770386,0.3209635416666667,340
2313,-1489.0685000800001,231,534528,87,1622.0,-7.421922917167346,0.00025,0.0122479005,0.997722327709198,0.2,1.2543401202807825,0.00260666400329986,0.631428062915802,0.16117350260416666,344
2340,-1478.62350005,230,540672,88,1622.0,-7.257961004972458,0.00025,0.015336204,0.9982447624206543,0.2,1.2967515072474878,0.0035856207396136597,0.5676421523094177,0.20992024739583334,348
2367,-1460.1235001100001,230,546816,89,1622.0,-7.414074386159579,0.00025,0.01362257,0.9974617958068848,0.2,1.394958920776844,0.009557542315936493,0.6685850024223328,0.23954264322916666,352
2395,-1465.3935001300001,230,552960,90,1622.0,-7.317923819025357,0.00025,0.012979388,0.997769832611084,0.2,1.3899826848258574,0.0064944405991506455,0.8145412802696228,0.2515055338541667,356
2425,-1479.9835001200004,230,559104,91,1622.0,-7.427514811356862,0.00025,0.020307636,0.9979026913642883,0.2,1.296338279421131,0.006163324183338166,0.31501227617263794,0.24556477864583334,360
2454,-1470.7035001000006,230,565248,92,1622.0,-7.223851641019185,0.00025,0.068184234,0.9976198673248291,0.2,0.9000891335308552,0.0339701784493324,0.2477366328239441,0.4565022786458333,364
2480,-1450.7885001200004,230,571392,93,1622.0,-7.333612168828647,0.00025,0.0333869,0.9981914162635803,0.2,0.8552867732942104,0.014413058561331127,0.21839122474193573,0.3603922526041667,368
2505,-1456.6935000800001,230,577536,94,1622.0,-7.224738284945488,0.00025,0.020504938,0.9975268244743347,0.2,0.9691733171542486,0.021357280042138882,0.34934374690055847,0.4036865234375,372
2530,-1461.19850011,230,583680,95,1622.0,-7.384864712754886,0.00025,0.011445026,0.998388946056366,0.2,1.1965964088837306,0.0050204250680205105,0.4347095191478729,0.22627766927083334,376
2553,-1445.5591690900005,231,589824,96,1615.71,-7.252928803364436,0.00025,0.03530641,0.99798983335495,0.2,0.8310363007088503,0.03591134390444495,0.29712116718292236,0.4635823567708333,380
2578,-1445.0441691000003,231,595968,97,1615.71,-7.189610868692398,0.00025,0.04133367,0.9821109175682068,0.2,7.685171414166689,0.030961118240763124,4.182250022888184,0.470458984375,384
2603,-1451.84916906,231,602112,98,1615.71,-7.256792103250821,0.00025,0.01584381,0.9967082142829895,0.2,1.5658680914590757,0.007456126414278212,0.45020902156829834,0.236328125,388
2626,-1446.18916906,231,608256,99,1615.71,-7.329012821118037,0.00025,0.012832794,0.9980960488319397,0.2,1.1594338019688923,0.005884715467497396,0.3803645372390747,0.20654296875,392
2654,-1461.5641691199999,231,614400,100,1615.71,-7.3185081879297895,0.00025,0.012807708,0.9974791407585144,0.2,1.2175124268978834,0.004540116480105401,0.4190705418586731,0.197998046875,396
2684,-1461.44916917,231,620544,101,1615.71,-7.3374572197596235,0.00025,0.02123564,0.9981892704963684,0.2,1.1427960476527612,0.007231918718995682,0.42494073510169983,0.24609375,400
2714,-1489.7335001000006,230,626688,102,1622.0,-7.365714505314827,0.00025,0.019790692,0.9979428648948669,0.2,1.0998220797628164,0.008678417099872604,0.4771745800971985,0.293212890625,404
2744,-1500.83350012,230,632832,103,1622.0,-7.3683997591336565,0.00025,0.023010844,0.9985275864601135,0.2,0.9930924313763777,0.009483888590087494,0.41595718264579773,0.2841389973958333,408
2772,-1510.5935001400003,230,638976,104,1622.0,-7.408244455854098,0.00025,0.011858179,0.998344361782074,0.2,0.986659582083424,0.006702351912584466,0.30869099497795105,0.2550048828125,412
2796,-1516.2485001599996,230,645120,105,1622.0,-7.364252820611,0.00025,0.02392993,0.998558521270752,0.2,1.0456139215578635,0.009531761878558124,0.40975770354270935,0.2785237630208333,416
2824,-1520.2035001699999,230,651264,106,1622.0,-7.380202119549115,0.00025,0.018139279,0.9984022378921509,0.2,0.9321347990383705,0.007559879813925363,0.26158401370048523,0.26025390625,420
2851,-1521.7185001799996,230,657408,107,1622.0,-7.2418951739867525,0.00025,0.017410068,0.9984723925590515,0.2,1.0537385400384665,0.005827668758380848,0.3397717773914337,0.24324544270833334,424
2876,-1517.9085002299998,230,663552,108,1622.0,-7.315664956967036,0.00025,0.021047644,0.9983239769935608,0.2,0.9627714846283197,0.0076929423594265245,0.2588939666748047,0.2785237630208333,428
2899,-1524.09350023,230,669696,109,1622.0,-7.269772524634997,0.00025,0.040395424,0.9985992908477783,0.2,0.9383490346372128,0.019573184748878703,0.23987793922424316,0.35107421875,432
2925,-1507.2635002300003,231,675840,110,1622.0,-7.154179508487384,0.00025,0.11423532,0.9985547661781311,0.2,0.9967683677872022,0.027819683108342968,0.3859085440635681,0.4085286458333333,436
2949,-1477.7085002200004,231,681984,111,1622.0,-7.101936628421147,0.00025,0.051792696,0.9979180097579956,0.2,1.0187602043151855,0.03753753253355777,0.8813126683235168,0.4932047526041667,440
2972,-1499.0185002600003,231,688128,112,1622.0,-7.184472804268201,0.00025,0.022551136,0.9983252882957458,0.2,1.0716370890537898,0.009051157016074285,0.637229323387146,0.2532552083333333,444
3000,-1489.4035002299997,231,694272,113,1622.0,-7.10161687930425,0.00025,0.01653248,0.9981008172035217,0.2,1.1931067450592916,0.013796350249322131,0.6188212633132935,0.3257649739583333,448
3029,-1481.1585001600001,231,700416,114,1622.0,-7.200489153464635,0.00025,0.011307317,0.9984140992164612,0.2,1.0052316474417846,0.005364536666699375,0.7101120948791504,0.197265625,452
3059,-1457.24850012,230,706560,115,1622.0,-7.117599541942279,0.00025,0.015751649,0.9980959296226501,0.2,1.0082978674521048,0.007639017989276908,0.5856295824050903,0.24759928385416666,456
3089,-1461.9535000800004,230,712704,116,1622.0,-7.249961743752162,0.00025,0.019051647,0.998523473739624,0.2,0.9791813592116038,0.006930948977242224,0.6522512435913086,0.2645670572916667,460
3114,-1470.73350008,230,718848,117,1622.0,-7.147122333447139,0.00025,0.017907465,0.9980732202529907,0.2,1.034416750073433,0.01028743714656836,0.6145182251930237,0.2709147135416667,464
3140,-1454.4885000400004,230,724992,118,1622.0,-7.2130952179431915,0.00025,0.021241456,0.9985583424568176,0.2,0.9836714879299203,0.020888918404428598,0.5798660516738892,0.3555094401041667,468
3167,-1449.22850009,230,731136,119,1622.0,-7.185842528939247,0.00025,0.0154192895,0.9984772801399231,0.2,0.8653030364463726,0.006925667274723916,0.3689006268978119,0.23921712239583334,472
3195,-1430.52350007,230,737280,120,1622.0,-7.186965708931287,0.00025,0.025436042,0.9986193180084229,0.2,0.9762844784806172,0.011151788911471764,0.4109558165073395,0.3004964192708333,476
