rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
2224.0,3945,-2.0953997199999925,952320,155,241,0.3302815755208333,616,-6.382353827357292,0.9972736239433289,0.2,1.3319967333227396,0.012562235,0.00025,0.019389596503363766,0.3486303687095642
2224.0,3971,6.477267149999999,958464,156,241,0.3202311197916667,620,-6.326303685704867,0.9980568289756775,0.2,0.9458518388370672,0.017378172,0.00025,0.013614234975345122,0.3287563621997833
2224.0,3996,39.472267030000005,964608,157,241,0.2770589192708333,624,-6.246887743473053,0.9979020357131958,0.2,1.252307491376996,0.011128437,0.00025,0.008734047359515293,0.30827492475509644
2224.0,4023,48.77260063000001,970752,158,241,0.4049072265625,628,-6.35344356795152,0.9975600242614746,0.2,1.1990330945700407,0.032753665,0.00025,0.01778768335498171,0.46940162777900696
2224.0,4049,26.639934240000002,976896,159,241,0.4418131510416667,632,-6.157366404930751,0.9977224469184875,0.2,1.1263018753379583,0.12294295,0.00025,0.029677277265970286,0.6159683465957642
2224.0,4075,-24.975065909999998,983040,160,241,0.4287109375,636,-5.968325033783913,0.9973796606063843,0.2,1.1344374939799309,0.03645696,0.00025,0.026216649741400033,0.5970792174339294
2224.0,4101,-19.979732519999992,989184,161,241,0.213623046875,640,-6.115259821216266,0.9976793527603149,0.2,1.1934100091457367,0.012140684,0.00025,0.00583850462984022,0.5339956879615784
2224.0,4126,-17.374065800000004,995328,162,241,0.16324869791666666,644,-6.127977028489113,0.9981904029846191,0.2,1.0781820838650067,0.012736891,0.00025,0.0036375009755526357,0.5273827314376831
2224.0,4153,-49.601066010000004,1001472,163,241,0.2781982421875,648,-6.1311894208192825,0.9982346892356873,0.2,0.9484783907731374,0.023941003,0.00025,0.01015694440381291,0.35199418663978577
2224.0,4179,-74.81773240000001,1007616,164,241,0.3824869791666667,652,-6.099718178311984,0.998181164264679,0.2,0.7467810697853565,0.048764776,0.00025,0.01737621120021989,0.24201735854148865
2224.0,4205,-87.08373247000002,1013760,165,241,0.3294677734375,656,-6.2275323669115705,0.998660683631897,0.2,0.8879730552434921,0.012416749,0.00025,0.014428613011356598,0.5182881355285645
2224.0,4231,-106.59173236000002,1019904,166,241,0.5361735026041666,660,-6.094128951430321,0.9980220794677734,0.2,0.7480099828292927,0.06714324,0.00025,0.044973630443564616,0.5062740445137024
2224.0,4256,-130.6123993,1026048,167,241,0.2762451171875,664,-5.999206721782684,0.998725175857544,0.2,0.9368758909404278,0.011991206,0.00025,0.010838209576225685,0.2502862811088562
2224.0,4282,-145.57139954000002,1032192,168,241,0.23974609375,668,-5.9017118612925215,0.9984973669052124,0.2,0.9393475167453289,0.0108020445,0.00025,0.004866046818885176,0.40896597504615784
2224.0,4309,-146.76973309000002,1038336,169,240,0.2798258463541667,672,-5.922376558184624,0.9981728196144104,0.2,1.1748524364084005,0.014236726,0.00025,0.00996054193819873,0.33888888359069824
2224.0,4335,-150.92773345,1044480,170,240,0.353759765625,676,-5.897039204835892,0.9985207915306091,0.2,1.07392318546772,0.016306916,0.00025,0.01804892111006969,0.25963032245635986
2224.0,4361,-158.11673348,1050624,171,240,0.4635416666666667,680,-5.808797453840573,0.9987942576408386,0.2,0.7901506957908472,0.035531875,0.00025,0.03274152218364179,0.19779641926288605
2224.0,4387,-163.70040008,1056768,172,240,0.3485107421875,684,-5.696034714579582,0.9983716607093811,0.2,0.7525103595107794,0.03630121,0.00025,0.014783835494502759,0.23116734623908997
2224.0,4413,-155.59206669,1062912,173,240,0.23152669270833334,688,-5.6712446808815,0.9986950755119324,0.2,0.5664843913788596,0.018865712,0.00025,0.005686188366477533,0.10469676554203033
2224.0,4439,-149.36006663,1069056,174,240,0.3212076822916667,692,-5.766135707497597,0.9985634684562683,0.2,0.7309536890437206,0.02305006,0.00025,0.013449301128275692,0.41536465287208557
2224.0,4465,-160.02240008,1075200,175,240,0.3378499348958333,696,-5.795046264926593,0.998704731464386,0.2,0.6637811282028755,0.030132234,0.00025,0.014342919040548926,0.2201825976371765
2224.0,4492,-166.17440006,1081344,176,240,0.291748046875,700,-5.6961633165677386,0.9986639618873596,0.2,0.8334483659515778,0.014699264,0.00025,0.010126307000367282,0.3635953962802887
2224.0,4518,-160.29939997,1087488,177,240,0.4895833333333333,704,-5.601852397123973,0.9988276362419128,0.2,0.7088264791915814,0.0620576,0.00025,0.036412617220776156,0.34710076451301575
2224.0,4544,-171.30973346000002,1093632,178,240,0.15962727864583334,708,-5.672599996129672,0.9989244341850281,0.2,0.8654173656056324,0.008939874,0.00025,0.0021990175009705126,0.25285404920578003
2224.0,4571,-150.85606642,1099776,179,240,0.176025390625,712,-5.597124258677165,0.9983505606651306,0.2,0.9903296654423078,0.01290974,0.00025,0.0015058186788034316,0.2666861116886139
2224.0,4597,-153.30973289000002,1105920,180,240,0.265380859375,716,-5.5718940893809,0.9988282918930054,0.2,0.9197332467883825,0.013388533,0.00025,0.007553476224226567,0.242094948887825
2224.0,4624,-146.96273269000002,1112064,181,240,0.16434733072916666,720,-5.674037992954254,0.9988346695899963,0.2,0.8847854199508826,0.012441166,0.00025,0.00104939433610222,0.1986214965581894
2224.0,4652,-148.56139978000002,1118208,182,240,0.16996256510416666,724,-5.716693818569183,0.9987753033638,0.2,0.902519733334581,0.0126853,0.00025,0.0025241655069597377,0.24700579047203064
2224.0,4678,-146.50806658000002,1124352,183,240,0.16072591145833334,728,-5.678681304057439,0.9989985823631287,0.2,0.8245507733275493,0.009230831,0.00025,0.001744116969348397,0.20017442107200623
2224.0,4705,-150.08439991,1130496,184,240,0.20174153645833334,732,-5.702053780357043,0.9990152716636658,0.2,0.8182870727032423,0.017581798,0.00025,0.0037606814488147697,0.24538174271583557
2224.0,4732,-152.30839996999998,1136640,185,240,0.235595703125,736,-5.64607975880305,0.9983606934547424,0.2,0.9245032997181019,0.013291123,0.00025,0.0050129579661491635,0.2826906442642212
2224.0,4758,-144.61706660000002,1142784,186,240,0.20918782552083334,740,-5.610081911087036,0.9989375472068787,0.2,0.7998008485883474,0.015385598,0.00025,0.002240844547486631,0.2569262981414795
2224.0,4784,-135.57373297,1148928,187,240,0.2413330078125,744,-5.6116931935151415,0.9988958239555359,0.2,0.8363554356619716,0.017484976,0.00025,0.00706816537422128,0.2239108383655548
2224.0,4811,-142.27006642,1155072,188,240,0.3185221354166667,748,-5.660317316651344,0.9987344145774841,0.2,0.9253752029811343,0.027061671,0.00025,0.013356470624178959,0.25262966752052307
2224.0,4838,-147.25806649,1161216,189,240,0.21675618489583334,752,-5.6450976232687635,0.9989408850669861,0.2,0.8680015889306864,0.01331877,0.00025,0.004259930278446215,0.2817869484424591
2224.0,4865,-144.66806677,1167360,190,239,0.22969563802083334,756,-5.680636043349902,0.9989779591560364,0.2,0.8050535541648666,0.019282488,0.00025,0.00719642023856674,0.2522152066230774
2224.0,4892,-144.27506684,1173504,191,239,0.24991861979166666,760,-5.488462507724762,0.9985390901565552,0.2,0.8752344756697615,0.018837577,0.00025,0.0077012037509121,0.2669717073440552
2224.0,4918,-131.31140022,1179648,192,239,0.2585856119791667,764,-5.486705765128136,0.9986292123794556,0.2,0.9657889809459448,0.015106247,0.00025,0.008045353223375665,0.31069478392601013
2224.0,4944,-126.07506688,1185792,193,239,0.2811686197916667,768,-5.506616319219272,0.9986273050308228,0.2,0.8557262426863114,0.021379322,0.00025,0.010557653848081827,0.24130649864673615
2224.0,4970,-120.68673340999997,1191936,194,239,0.3427327473958333,772,-5.56033552189668,0.9989782571792603,0.2,0.8020535086592039,0.02115082,0.00025,0.01643107510608388,0.22159269452095032
2224.0,4998,-126.36440010999999,1198080,195,239,0.41455078125,776,-5.552491679787636,0.998820424079895,0.2,0.7656176090240479,0.0641535,0.00025,0.03269803078728728,0.4434424936771393
2224.0,5025,-132.70906671000003,1204224,196,239,0.432373046875,780,-5.642735615372658,0.9985068440437317,0.2,0.9154245344301065,0.022046894,0.00025,0.03221519268117845,0.21348288655281067
2224.0,5051,-125.43473356,1210368,197,239,0.4455159505208333,784,-5.640454451243083,0.9989157915115356,0.2,0.6450759380434951,0.048091535,0.00025,0.02874542031592379,0.16964223980903625
