time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
149760,1163,128,195,0.4001736111111111,0.036109723,0.00025,-7.451405399375492,0.00821066186633996,582,0.2,0.8940529227256775,8.797144836849636,3.4646010398864746,1017.95,9238.55
150528,1170,128,196,0.4140625,0.03645307,0.00025,-7.52019770277871,0.02481217255505423,585,0.2,0.8949790000915527,9.386400312185287,8.65660285949707,1017.95,9210.71
151296,1174,128,197,0.4240451388888889,0.058756586,0.00025,-7.4492280681928,0.024592628417950537,588,0.2,0.94676274061203,6.357471022340986,2.003453254699707,1011.99,9100.37
152064,1179,128,198,0.4097222222222222,0.046245713,0.00025,-7.587117327584161,0.02586909939741923,591,0.2,0.8771458864212036,13.8279872669114,5.603248596191406,1011.99,9194.23
152832,1183,129,199,0.4704861111111111,0.09058925,0.00025,-7.614523947238922,0.04117740289722052,594,0.2,0.9474608898162842,6.797604107194477,3.04502010345459,1011.99,9222.71
153600,1187,129,200,0.2977430555555556,0.023359263,0.00025,-7.783567640516493,-0.0072731592744174935,597,0.2,0.8912161588668823,12.721122754944695,7.722280025482178,1011.99,9260.03
154368,1192,129,201,0.3706597222222222,0.04064678,0.00025,-7.633925848537022,0.008976603495991893,600,0.2,0.8217889070510864,14.155830641587576,8.814375877380371,1011.99,9408.81
155136,1196,129,202,0.2877604166666667,0.02818138,0.00025,-7.642552971839905,0.009410603295287324,603,0.2,0.931000292301178,8.171790722343657,4.347919940948486,1011.99,9442.09
155904,1204,129,203,0.4144965277777778,0.044059396,0.00025,-7.630598584810893,0.016556107697801456,606,0.2,0.8587895035743713,15.38666225141949,6.417948246002197,1011.99,9432.85
156672,1208,129,204,0.2647569444444444,0.026235333,0.00025,-7.6339837246470985,-0.00893109831182907,609,0.2,0.8795672059059143,11.617607325315475,7.315188407897949,1011.99,9479.13
157440,1213,129,205,0.3893229166666667,0.055511292,0.00025,-7.508166280057695,0.019420317011988826,612,0.2,0.9018412232398987,8.61494255065918,5.90010404586792,1011.99,9658.17
158208,1218,129,206,0.3893229166666667,0.03307963,0.00025,-7.537872698571947,0.01816253105385436,615,0.2,0.9252088069915771,8.287365926636589,2.570798397064209,1011.99,9688.85
158976,1222,130,207,0.4453125,0.10613936,0.00025,-7.451606233914693,0.03780657386717697,618,0.2,0.8977614641189575,6.1064189109537335,3.1814064979553223,1011.65,9801.39
159744,1226,130,208,0.4431423611111111,0.0487376,0.00025,-7.590409212642246,0.028067986260996096,621,0.2,0.8905200958251953,12.674559911092123,3.167083263397217,1002.81,9827.29
160512,1231,130,209,0.3645833333333333,0.030828556,0.00025,-7.50402303536733,0.005387902790163126,624,0.2,0.9079628586769104,13.818423251310984,7.026240348815918,1002.81,9805.71
161280,1238,130,210,0.2921006944444444,0.02354061,0.00025,-7.681904885503981,0.014952528018814823,627,0.2,0.8931443095207214,9.853114628129536,4.888985633850098,1002.81,10186.15
162048,1242,130,211,0.3923611111111111,0.047284883,0.00025,-7.728842536608378,0.015064003825601604,630,0.2,0.9347609281539917,10.55805551674631,3.369997262954712,1002.81,9834.33
162816,1246,130,212,0.4001736111111111,0.03771105,0.00025,-7.842524634467231,0.04062395906334536,633,0.2,0.8998361825942993,23.62103392018212,8.129101753234863,1002.81,9827.57
163584,1251,130,213,0.3246527777777778,0.030096764,0.00025,-7.7739262912008495,0.010784304804272123,636,0.2,0.7518702745437622,14.735782007376352,9.013162612915039,1002.81,9809.11
164352,1255,130,214,0.3871527777777778,0.033797182,0.00025,-7.7505479786131115,-0.004560317779477272,639,0.2,0.8369779586791992,8.325600687000486,4.563421249389648,1002.81,9818.99
165120,1259,131,215,0.4296875,0.043131728,0.00025,-7.624098281065623,0.032797475448913045,642,0.2,0.9063625335693359,7.656551872690518,3.1429786682128906,1002.81,9778.17
165888,1264,131,216,0.3090277777777778,0.019721603,0.00025,-7.741595188776652,0.007821187454586228,645,0.2,0.886577308177948,10.652236249711779,4.061248779296875,1003.86,9743.78
166656,1268,131,217,0.3619791666666667,0.047007095,0.00025,-7.7108234167099,0.018106842659310333,648,0.2,0.9634677171707153,7.859750015868081,3.7146389484405518,1003.86,9785.38
167424,1275,131,218,0.4127604166666667,0.035136495,0.00025,-7.69555707110299,0.014153664608279036,651,0.2,0.8787538409233093,10.174712614880669,4.08711576461792,1003.86,9786.16
168192,1280,131,219,0.3641493055555556,0.05232512,0.00025,-7.545400652620527,0.027511509471676417,654,0.2,0.9416701197624207,8.56655647357305,11.470794677734375,1003.86,10142.56
168960,1284,131,220,0.3268229166666667,0.031589955,0.00025,-7.573531448841095,0.024299059053494904,657,0.2,0.9388196468353271,8.61340359184477,4.302233695983887,1003.86,10365.36
169728,1288,131,221,0.42578125,0.050192863,0.00025,-7.514397958914439,0.02096123133216881,660,0.2,0.9435098171234131,8.477069318294525,7.845542907714844,1003.86,10441.8
170496,1292,131,222,0.4583333333333333,0.08608738,0.00025,-7.6945192615191145,0.042834773905471794,663,0.2,0.8274201154708862,14.716587834888035,6.447501182556152,1003.86,10226.78
171264,1297,132,223,0.3988715277777778,0.038000938,0.00025,-7.675649656189813,0.013023758048398627,666,0.2,0.886932373046875,10.259703894456228,7.695512294769287,1003.86,10091.58
172032,1301,132,224,0.39453125,0.055903245,0.00025,-7.502027995056576,0.018159393563918356,669,0.2,0.8057849407196045,9.205998483631346,5.522995471954346,1003.86,10335.72
172800,1308,132,225,0.3658854166666667,0.0470078,0.00025,-7.436164789729649,0.012669634979425205,672,0.2,0.9021218419075012,7.251951671308941,4.30185604095459,1003.86,10649.36
