time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
76032,486,156,99,0.00025,0.03749339,0.2,0.9116177558898926,31.607494354248047,0.010313294297601614,-21729.98,0.39453125,294,-7.215223292509715,1019.0,42.888957526948715
76800,492,156,100,0.00025,0.029642412,0.2,0.8471460342407227,55.10198211669922,0.022752072209388845,-22202.08,0.3654513888888889,297,-7.1919655667410956,1019.0,62.451509184307525
77568,499,155,101,0.00025,0.035261776,0.2,0.9087650775909424,20.545204162597656,0.011825273162685335,-22202.08,0.3090277777777778,300,-7.158074981636471,1019.0,40.823075930277504
78336,504,155,102,0.00025,0.03693213,0.2,0.8094452023506165,25.37915802001953,0.015623231185600162,-22630.48,0.421875,303,-7.332891464233398,1019.0,62.73854613304138
79104,509,155,103,0.00025,0.034464914,0.2,0.9301066398620605,22.194427490234375,0.015009992510183819,-22630.48,0.3619791666666667,306,-7.208072748449114,1019.0,41.68575628598531
79872,515,155,104,0.00025,0.03399828,0.2,0.8519250750541687,45.4898567199707,0.00421846299044167,-23067.46,0.3289930555555556,309,-7.368358234564464,1019.0,73.94262120458815
80640,520,154,105,0.00025,0.032646764,0.2,0.8861755728721619,37.67745590209961,0.00733468467499026,-23067.46,0.3246527777777778,312,-7.22504366768731,1019.0,49.25138250986735
81408,524,155,106,0.00025,0.039229833,0.2,0.8765503764152527,25.860639572143555,0.026216787881114416,-23517.18,0.3559027777777778,315,-7.208795832263099,1019.0,70.1965040365855
82176,532,154,107,0.00025,0.027203025,0.2,0.9051846861839294,23.83094596862793,0.0009795457461021012,-23517.18,0.2886284722222222,318,-7.201828234725529,1019.0,36.20995812283622
82944,537,154,108,0.00025,0.036649194,0.2,0.8983163833618164,57.17311096191406,0.024686683137487207,-23856.72,0.4583333333333333,321,-7.125423616833157,1019.0,57.57727160718706
83712,542,154,109,0.00025,0.032893457,0.2,0.8830944895744324,17.632373809814453,0.014244847077255448,-23856.72,0.2890625,324,-7.088120884365505,1019.0,47.16858032014635
84480,547,154,110,0.00025,0.03480332,0.2,0.8841557502746582,35.4130859375,0.018123809843220644,-24078.76,0.3723958333333333,327,-7.071043067508274,1019.0,64.47466598616705
85248,551,154,111,0.00025,0.036398914,0.2,0.9144991040229797,30.878189086914062,0.016272356837160058,-24078.76,0.2712673611111111,330,-7.101852337519328,1019.0,38.38715366522471
86016,556,154,112,0.00025,0.034567703,0.2,0.882236123085022,46.42683029174805,0.035671611458787486,-24327.58,0.3606770833333333,333,-7.029236177603404,1019.0,79.3175326983134
86784,561,154,113,0.00025,0.04189979,0.2,0.8964803814888,38.17508316040039,0.010557994725079171,-24327.58,0.3350694444444444,336,-7.043694814046224,1019.0,40.558211869663666
87552,568,153,114,0.00025,0.020588672,0.2,0.9265478253364563,32.073974609375,0.011767160483739443,-24540.78,0.3528645833333333,339,-7.025536596775055,1019.0,59.716553661558365
88320,573,153,115,0.00025,0.028119763,0.2,0.8988199234008789,18.46339225769043,0.01125521973396341,-24540.78,0.2816840277777778,342,-7.123092532157898,1019.0,44.02318669027753
89088,578,154,116,0.00025,0.02853178,0.2,0.9209566116333008,59.407249450683594,0.01885442809563958,-24793.24,0.2769097222222222,345,-7.046990904543135,1019.0,79.14703159862094
89856,583,154,117,0.00025,0.04032014,0.2,0.9344719052314758,11.17343807220459,0.017193670785571966,-24793.24,0.2994791666666667,348,-6.987473017639584,1019.0,37.89033500353495
90624,587,154,118,0.00025,0.028684782,0.2,0.9009864330291748,29.386863708496094,0.01382071954301662,-24976.54,0.3450520833333333,351,-6.742715610398187,1019.0,78.12073593669467
91392,592,154,119,0.00025,0.032714237,0.2,0.926573634147644,15.500422477722168,0.017519681093593437,-24976.54,0.34765625,354,-7.0260225865576,1019.0,33.56472763088014
92160,600,153,120,0.00025,0.030479759,0.2,0.896108865737915,37.55573654174805,0.03651173194197731,-25074.56,0.3736979166666667,357,-6.908269842465718,1019.0,85.93044123384688
92928,605,153,121,0.00025,0.025796244,0.2,0.9383016228675842,51.67203903198242,0.020231065469690494,-25074.56,0.3684895833333333,360,-6.900865183936225,1019.0,51.4816224442588
93696,610,153,122,0.00025,0.043386538,0.2,0.8914750814437866,49.910972595214844,0.021360268279547907,-25168.94,0.3719618055555556,363,-6.840042624208662,1019.0,86.26537511083815
94464,615,153,123,0.00025,0.033417378,0.2,0.9373756647109985,52.841495513916016,0.007577786173593874,-25168.94,0.296875,366,-6.86036921872033,1019.0,51.22290401988559
95232,619,153,124,0.00025,0.09840855,0.2,0.9065864682197571,19.408809661865234,0.03391750033996585,-25227.18,0.3845486111111111,369,-6.877816246615516,1019.0,66.29034229119618
96000,624,153,125,0.00025,0.055587023,0.2,0.9457782506942749,12.805944442749023,0.013621032095721198,-25227.18,0.37890625,372,-6.963227808475494,1019.0,29.131045301755268
96768,630,153,126,0.00025,0.069656916,0.2,0.9203408360481262,36.5478630065918,0.07088085610626473,-25252.92,0.5004340277777778,375,-6.83388223250707,1019.0,61.32708917723762
97536,637,152,127,0.00025,0.05338688,0.2,0.9312068819999695,19.49135971069336,0.011857042852271762,-25252.92,0.4509548611111111,378,-6.8021632499165,1019.0,38.438371486134
98304,642,152,128,0.00025,0.028100843,0.2,0.9323433637619019,22.468582153320312,0.014288419327284727,-25265.14,0.3302951388888889,381,-6.9082250065273705,1019.0,44.477371997303436
99072,647,152,129,0.00025,0.05589853,0.2,0.9418174624443054,11.316427230834961,0.030201018425739475,-25265.14,0.3967013888888889,384,-6.981550792853038,1019.0,23.454615467124516
99840,653,152,130,0.00025,0.0396124,0.2,0.9113349318504333,26.518278121948242,0.03983492189500895,-25231.08,0.4565972222222222,387,-6.837926705678304,1019.0,53.24925152460734
