time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/value_loss,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean
31232,61,140,221,0.2,25.042849232753117,0.359375,-31.720999029999994,-7.458039293686549,0.00025,180,6.077987194061279,0.032488093,0.7771519422531128,-0.0005434719108355542,999.01
31744,62,142,223,0.2,26.542734185854595,0.4108072916666667,-32.951999,-7.5504297117392225,0.00025,183,20.64177131652832,0.025650147,0.7336535453796387,0.033243108967629574,1002.22
32256,63,142,226,0.2,25.200063983599346,0.4134114583333333,-31.89499904,-7.630713909864426,0.00025,186,12.486092567443848,0.037869617,0.8252841830253601,0.018997258157469332,1008.57
32768,64,141,230,0.2,26.639543026685715,0.3365885416666667,-23.568999099999996,-7.634601851304372,0.00025,189,9.00528621673584,0.038831808,0.7719516754150391,0.006927713596572478,1008.57
33280,65,141,234,0.2,17.55904471874237,0.3919270833333333,-22.002999179999996,-7.692289372285207,0.00025,192,19.345104217529297,0.035809837,0.7035044431686401,0.01271267708701392,1013.97
33792,66,141,238,0.2,26.097385048866272,0.4791666666666667,-22.01699918,-7.626039534807205,0.00025,195,17.120952606201172,0.028112328,0.7735151052474976,0.016990260027038556,1013.97
34304,67,141,242,0.2,15.538292874892553,0.5169270833333334,-21.48699916,-7.710144142309825,0.00025,198,4.399540424346924,0.047438562,0.7445628643035889,0.044408681259180106,1013.97
34816,68,141,246,0.2,22.03006049990654,0.4375,-17.76899922,-7.68295802672704,0.00025,201,10.605703353881836,0.026044775,0.6093541979789734,0.017507777801559616,1013.97
35328,69,141,250,0.2,19.365368564923603,0.5123697916666666,-19.13099921,-7.6156319578488665,0.00025,204,9.633357048034668,0.042182658,0.26673412322998047,0.032809797674417496,1013.97
35840,70,141,254,0.2,21.221451709667843,0.5,-19.37099922,-7.659623295068741,0.00025,207,15.127642631530762,0.06876277,0.6560969352722168,0.03755555771446476,1013.97
36352,71,142,255,0.2,20.704694668451946,0.427734375,-19.63099922,-7.896074344714482,0.00025,210,10.59140396118164,0.038191922,0.8828997015953064,0.02567179858063658,1013.97
36864,72,142,259,0.2,23.73160978158315,0.3997395833333333,-19.748999219999998,-7.8426045179367065,0.00025,213,21.338420867919922,0.039277412,0.9056214094161987,0.020567252145459253,1013.97
37376,73,142,262,0.2,13.577734450499216,0.4329427083333333,-16.878999280000002,-7.766228963931401,0.00025,216,10.740157127380371,0.038186364,0.7567316293716431,0.011388990494500225,1013.97
37888,74,141,266,0.2,13.93465518951416,0.4303385416666667,-16.966999279999996,-7.7402942677338915,0.00025,219,9.572151184082031,0.06393843,0.7959809899330139,0.032085137422351785,1013.97
38400,75,141,270,0.2,16.043915271759033,0.4524739583333333,-16.78099927,-7.64043989777565,0.00025,222,12.512483596801758,0.03101844,0.8303318023681641,-0.00046915972294906777,1013.97
38912,76,141,274,0.2,14.861753702163696,0.44921875,-16.554999260000002,-7.585344483455022,0.00025,225,10.138249397277832,0.06480493,0.8606326580047607,0.01787768682697788,1013.97
39424,77,141,278,0.2,15.779779980580011,0.4134114583333333,-14.964999229999998,-7.4713782370090485,0.00025,228,6.927816867828369,0.05343829,0.8232775926589966,0.010997711933062723,1013.97
39936,78,141,282,0.2,18.82604216535886,0.458984375,-14.530999220000002,-7.555614143610001,0.00025,231,18.50752067565918,0.06810098,0.7707431316375732,0.034328512022815026,1013.97
40448,79,142,283,0.2,22.43625072638194,0.4270833333333333,-18.31499909,-7.525756607453029,0.00025,234,14.563529968261719,0.057863187,0.6383337378501892,0.020919542041762423,1013.97
