time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
196608,1103,178,-247.94229013000003,32,1536.53,124,0.2,-7.712510133783023,0.00025,0.014706711,0.3887125651041667,0.9401013255119324,0.014652317363167336,22.230454285939533,6.087564945220947
202752,1137,178,-264.13546513,33,1520.74,128,0.2,-7.6641509582599,0.00025,0.0136917755,0.294677734375,0.9633641242980957,0.008081250935598897,38.68732863664627,17.98053741455078
208896,1171,178,-267.22577516999996,34,1516.88,132,0.2,-7.6520899583896,0.00025,0.026629323,0.2784016927083333,0.961220383644104,0.00671432387510625,37.544710298379265,13.196189880371094
215040,1216,176,-228.90667019,35,1500.81,136,0.2,-7.64406976600488,0.00025,0.016347796,0.278076171875,0.9520204663276672,0.006336224415766385,50.049140910307564,21.854352951049805
221184,1267,174,-257.37247023,36,1495.06,140,0.2,-7.6668625473976135,0.00025,0.033326685,0.3516845703125,0.9642796516418457,0.014179566685925238,34.2106028397878,10.56415843963623
227328,1316,172,-293.50195524000003,37,1496.9,144,0.2,-7.67176682750384,0.00025,0.022460163,0.2732747395833333,0.960518479347229,0.002508337037094558,56.77536435921987,25.47334098815918
233472,1353,172,-285.46259525,38,1484.94,148,0.2,-7.785869836807251,0.00025,0.026344478,0.3158772786458333,0.9622055292129517,0.005749674800123709,40.93339943885803,11.88353157043457
239616,1382,173,-228.42445518999997,39,1488.34,152,0.2,-7.776326114932696,0.00025,0.029146893,0.2644449869791667,0.9477883577346802,0.0060060042815166526,34.89695501327515,9.84084415435791
245760,1419,173,-177.56861511000002,40,1482.85,156,0.2,-7.593100130558014,0.00025,0.028906437,0.441162109375,0.8914511799812317,0.017094000169890933,15.878595431645712,7.952915668487549
251904,1448,173,-215.43101517000005,41,1504.55,160,0.2,-7.661951000491778,0.00025,0.021593371,0.2904052734375,0.9510451555252075,0.004479751216422301,24.713567475477856,9.189122200012207
258048,1482,174,-144.1290951,42,1440.81,164,0.2,-7.676208217938741,0.00025,0.018701896,0.2504475911458333,0.959583580493927,0.003091044405058104,43.71768174568812,21.09917640686035
264192,1515,174,-145.45404514,43,1413.91,168,0.2,-7.708620021740596,0.00025,0.022407299,0.3015543619791667,0.942741870880127,0.005336255937436363,42.14641064405441,15.071739196777344
270336,1546,174,-132.12568511,44,1420.46,172,0.2,-7.663270811239879,0.00025,0.02560179,0.3188883463541667,0.9477938413619995,0.005107266447642663,37.35802684227625,11.062360763549805
276480,1578,175,-141.45251511,45,1392.19,176,0.2,-7.652764057119687,0.00025,0.042736292,0.4584147135416667,0.960340678691864,0.021899957437805522,26.512547423442204,8.59099292755127
282624,1613,175,-122.4169601,46,1414.12,180,0.2,-7.617502301931381,0.00025,0.036386475,0.3704020182291667,0.9672702550888062,0.007503008428708806,28.415367662906647,12.95883846282959
288768,1646,175,-68.11299502,47,1437.9,184,0.2,-7.615506897370021,0.00025,0.046510372,0.4608968098958333,0.9075922966003418,0.01915872644652457,15.041098793347677,6.457400321960449
294912,1680,175,-123.89258506,48,1489.1,188,0.2,-7.649379933873813,0.00025,0.020642685,0.3415934244791667,0.9376658797264099,0.00017978179918524498,14.711215923229853,8.370633125305176
301056,1714,175,-120.75429009,49,1405.3,192,0.2,-7.593066111207008,0.00025,0.031033045,0.3158365885416667,0.9556849002838135,0.008353330258008404,37.788975973924,15.833182334899902
307200,1747,175,-125.73582006999999,50,1353.7,196,0.2,-7.653503497441609,0.00025,0.022858486,0.3112386067708333,0.9342747926712036,0.005607996999363725,56.42511107524236,23.108078002929688
313344,1781,175,-132.39977011000002,51,1302.65,200,0.2,-7.646831939617793,0.00025,0.020947209,0.29248046875,0.9541326761245728,0.004282593294192338,30.857999046643574,12.843998908996582
319488,1817,175,-125.61784013,52,1210.65,204,0.2,-7.581868549187978,0.00025,0.02944167,0.3277180989583333,0.9537248015403748,0.009436567828136807,26.499474426110584,6.295821189880371
325632,1861,174,-73.87921010000001,53,1181.79,208,0.2,-7.528371105591456,0.00025,0.026049152,0.3052571614583333,0.9571360349655151,-9.738618003514905e-05,37.99862086772919,20.741180419921875
331776,1896,174,-37.28259002,54,1249.08,212,0.2,-7.6217465202013654,0.00025,0.030536475,0.3296712239583333,0.9492272138595581,0.007202287980665763,25.89035302400589,9.367657661437988
337920,1934,174,-35.67139004,55,1298.81,216,0.2,-7.609003951152165,0.00025,0.059463244,0.45068359375,0.9430860280990601,0.015250480602844618,12.428487330675125,4.555285453796387
344064,1973,174,-24.604264959999995,56,1282.71,220,0.2,-7.556436796983083,0.00025,0.037254814,0.3524576822916667,0.9461722373962402,0.00522573041113598,25.096464504798252,6.755843162536621
350208,2008,174,-24.94722991,57,1293.39,224,0.2,-7.558899198969205,0.00025,0.022900855,0.28125,0.9558171629905701,0.004279065850520662,32.38352309664091,12.688647270202637
356352,2045,174,4.14144508000001,58,1271.28,228,0.2,-7.549874464670817,0.00025,0.025107078,0.3226318359375,0.9524560570716858,0.010038344293813376,22.565103719631832,10.030689239501953
362496,2086,173,26.27590008000001,59,1186.69,232,0.2,-7.472461178898811,0.00025,0.06914238,0.4967854817708333,0.9487349987030029,0.02865689001676704,15.997955590486526,4.917226314544678
368640,2121,173,49.43619509,60,1054.53,236,0.2,-7.472597579161326,0.00025,0.055506963,0.4327392578125,0.9422101378440857,0.019057894955039956,14.778931101163229,4.711515426635742
374784,2165,173,90.48277500999998,61,969.93,240,0.2,-7.460135733087857,0.00025,0.042730123,0.3817545572916667,0.9247920513153076,0.011251027763743574,31.20596957206726,15.006279945373535
380928,2203,172,85.93510498000002,62,1010.21,244,0.2,-7.474658255775769,0.00025,0.066974916,0.4329020182291667,0.9711748361587524,0.019286330961525284,12.06806872288386,5.5728349685668945
387072,2243,172,72.20451992,63,1043.76,248,0.2,-7.421226471662521,0.00025,0.043553334,0.4103190104166667,0.9621778726577759,0.013796549193405857,10.95193150639534,3.6206717491149902
393216,2280,172,62.158824890000005,64,1095.74,252,0.2,-7.404861688613892,0.00025,0.02578303,0.3934733072916667,0.9543095231056213,0.007164571798057295,19.121103127797443,10.100842475891113
399360,2314,172,75.5725999,65,1197.89,256,0.2,-7.315184781948726,0.00025,0.033476457,0.5052083333333334,0.9546241760253906,0.03281999683288935,10.592765892545382,3.431992292404175
405504,2346,172,43.799404890000005,66,1262.57,260,0.2,-7.35673792163531,0.00025,0.023192694,0.3240966796875,0.955784797668457,0.008881654704358274,12.843199888865152,6.058452129364014
411648,2376,173,36.28818493,67,1308.81,264,0.2,-7.437151983380318,0.00025,0.05436708,0.4246012369791667,0.9502756595611572,0.017441523906503182,16.934038152297337,8.368982315063477
